frame,lon,lat,alt
0,-82.63108932,27.75237771,460.81
1,-82.63099672,27.75285759,462.73
2,-82.63090412,27.75333747,464.65
3,-82.63081153,27.75381735,466.57
4,-82.63071893,27.75429723,468.5
5,-82.63062633,27.75477711,470.42
6,-82.63053373,27.75525699,472.34
7,-82.63044114,27.75573687,474.26
8,-82.63034854,27.75621675,476.19
9,-82.63025594,27.75669663,478.11
10,-82.63016335,27.75717651,480.03
11,-82.63007075,27.75765639,481.95
12,-82.62997815,27.75813627,483.87
13,-82.62988556,27.75861615,485.8
14,-82.62979296,27.75909603,487.72
15,-82.62970036,27.75957592,489.64
16,-82.62960776,27.7600558,491.56
17,-82.62951517,27.76053568,493.48
18,-82.62942257,27.76101556,495.41
19,-82.62932997,27.76149544,497.33
20,-82.62923738,27.76197532,499.25
21,-82.62914478,27.7624552,501.17
22,-82.62905218,27.76293508,503.09
23,-82.62895958,27.76341496,505.02
24,-82.62886699,27.76389484,506.94
25,-82.62877439,27.76437472,508.86
26,-82.62868179,27.7648546,510.78
27,-82.6285892,27.76533448,512.71
28,-82.6284966,27.76581436,514.63
29,-82.628404,27.76629424,516.55
30,-82.62831141,27.76677412,518.47
31,-82.62821881,27.76725401,520.39
32,-82.62812621,27.76773389,522.32
33,-82.62803361,27.76821377,524.24
34,-82.62794102,27.76869365,526.16
35,-82.62784842,27.76917353,528.08
36,-82.62775582,27.76965341,530
37,-82.62766323,27.77013329,531.93
38,-82.62757063,27.77061317,533.85
39,-82.62747803,27.77109305,535.77
40,-82.62738544,27.77157293,537.69
41,-82.62729284,27.77205281,539.61
42,-82.62720024,27.77253269,541.54
43,-82.62710764,27.77301257,543.46
44,-82.62701505,27.77349245,545.38
45,-82.62692245,27.77397233,547.3
46,-82.62682985,27.77445221,549.22
47,-82.62673726,27.77493209,551.15
48,-82.62664466,27.77541198,553.07
49,-82.62655206,27.77589186,554.99
50,-82.62645947,27.77637174,556.91
51,-82.62636687,27.77685162,558.84
52,-82.62627427,27.7773315,560.76
53,-82.62618167,27.77781138,562.68
54,-82.62608908,27.77829126,564.6
55,-82.62599648,27.77877114,566.52
56,-82.62590388,27.77925102,568.45
57,-82.62581129,27.7797309,570.37
58,-82.62571869,27.78021078,572.29
59,-82.62562609,27.78069066,574.21
60,-82.6255335,27.78117054,576.13
